Anweisung,Instruction_trials,Resting_trials.thisRepN,Resting_trials.thisTrialN,Resting_trials.thisN,Resting_trials.thisIndex,sound_instruct.started,sound_instruct.stopped,text_instruct.started,text_instruct.stopped,key_resp_instruct.keys,key_resp_instruct.rt,key_resp_instruct.started,key_resp_instruct.stopped,sound_start_recording.started,sound_start_recording.stopped,sound_trial.started,sound_trial.stopped,fixation_cross.started,fixation_cross.stopped,sound_end_recording.started,sound_end_recording.stopped,participant,condition,language,parellel port,date,expName,psychopyVersion,frameRate,
,,,,,,15.987964566742692,None,15.987454600050114,62.97536170005333,space,12.180084399995394,62.965065700002015,None,,,,,,,,,1,1,English,03F8,2022-05-20_13h54.01.047,Ruhe_EEG,2022.1.3,348.77353732785934,
audio\auf.wav,Instruction_open.wav,0,0,0,0,,,,,,,,,75.16229606670483,None,78.16265436663913,None,78.1594991000602,None,,,1,1,English,03F8,2022-05-20_13h54.01.047,Ruhe_EEG,2022.1.3,348.77353732785934,
audio\zu.wav,Instruction_close.wav,0,1,1,1,,,,,,,,,,,141.16169856669538,None,141.15130280004814,141.15130280004814,,,1,1,English,03F8,2022-05-20_13h54.01.047,Ruhe_EEG,2022.1.3,348.77353732785934,
audio\zu_lassen.wav,Instruction_leave_closed.wav,0,2,2,2,,,,,,,,,,,204.1506705666582,None,204.1411839000648,204.1411839000648,,,1,1,English,03F8,2022-05-20_13h54.01.047,Ruhe_EEG,2022.1.3,348.77353732785934,
audio\auf.wav,Instruction_open.wav,0,3,3,3,,,,,,,,,,,267.14035186666683,None,267.12961479998194,267.12961479998194,,,1,1,English,03F8,2022-05-20_13h54.01.047,Ruhe_EEG,2022.1.3,348.77353732785934,
audio\zu.wav,Instruction_close.wav,0,4,4,4,,,,,,,,,,,330.13135846663886,None,330.1242613000795,330.1242613000795,,,1,1,English,03F8,2022-05-20_13h54.01.047,Ruhe_EEG,2022.1.3,348.77353732785934,
audio\auf.wav,Instruction_open.wav,0,5,5,5,,,,,,,,,,,393.1252860667339,None,393.11433700006455,393.11433700006455,,,1,1,English,03F8,2022-05-20_13h54.01.047,Ruhe_EEG,2022.1.3,348.77353732785934,
audio\auf_lassen.wav,Instruction_leave_open.wav,0,6,6,6,,,,,,,,,,,456.11443696666197,None,456.1041865000734,456.1041865000734,,,1,1,English,03F8,2022-05-20_13h54.01.047,Ruhe_EEG,2022.1.3,348.77353732785934,
audio\zu.wav,Instruction_close.wav,0,7,7,7,,,,,,,,,,,519.1045656667013,None,519.093819300062,519.093819300062,,,1,1,English,03F8,2022-05-20_13h54.01.047,Ruhe_EEG,2022.1.3,348.77353732785934,
,,,,,,,,,,,,,,,,,,,,582.0931306667082,None,,,,,,,,,
